station_code;name;latitude;longitude;capacity;is_installed;is_renting;is_returning;town
13009;Auguste Blanqui - Corvisart;48.8300989;2.3502726;26;1;1;1;Paris
35006;Delizy - Louis Nadot;48.89621285;2.409457862;22;1;1;1;Pantin
9006;Dunkerque - Trudaine;48.88215167;2.346325368;16;1;1;1;Paris
18041;Rochechouart - Martyrs;48.88219378;2.340549566;20;1;1;1;Paris
21314;Chemin de Bretagne;48.825147;2.25936;29;1;1;1;Issy-les-Moulineaux
12018;Saint-Mandé - Fabre d'Eglantine;48.8453579;2.3965022;34;1;1;1;Paris
12005;Crozatier - Faubourg Saint-Antoine;48.85044001;2.378901366;29;1;1;1;Paris
44016;Balzac - Olympes de Gouges;48.77850332;2.400678657;28;1;1;1;Vitry-sur-Seine
2108;Vivienne - Montmartre;48.8713476;2.341458835;39;1;1;1;Paris
15011;Cambronne - Villa Croix Nivert;48.84584756;2.301757447;62;1;1;1;Paris
9011;Geoffroy - Marie;48.87378194;2.344513876;20;1;1;1;Paris
15071;Suffren - Champ de Mars;48.8547194;2.2952168;23;1;1;1;Paris
13025;Place de Rungis;48.82245595;2.347382729;32;1;1;1;Paris
4021;Centre Georges Pompidou;48.861419;2.352581;26;1;1;1;Paris
12028;Vivaldi - Antoine-Julien Hénard;48.84192366;2.389728979;27;1;1;1;Paris
32601;Porte des Lilas - Faidherbe;48.87861856;2.412032783;39;1;1;1;Les Lilas
9034;Godot de Mauroy - Madeleine;48.869789;2.326347;22;1;1;1;Paris
15102;Square Bela Bartok;48.85120157;2.284653671;24;1;1;1;Paris
12035;Madagascar - Meuniers;48.83460464;2.397065051;33;1;1;1;Paris
6012;Saint-Germain - Ciseaux;48.85330528;2.334465462;18;1;1;1;Paris
1003;Saint-Denis - Rivoli;48.85905934;2.3476943;43;1;1;1;Paris
17123;Mstislav Rostropovitch - Berthier;48.89212082;2.309234105;18;1;1;1;Paris
5115;Buffon - Jardin des Plantes;48.84266847;2.361858711;30;1;1;1;Paris
21501;Pont de Suresnes;48.86741509;2.225894668;52;1;1;1;Suresnes
10021;Marché Saint-Quentin;48.87735606;2.354511446;15;1;1;1;Paris
21319;Esplanade du Foncet - Camille Desmoulins;48.82709023;2.260685787;28;1;1;1;Issy-les-Moulineaux
41211;Louis Xavier de Ricard - Ancienne Mairie;48.84629899;2.472420372;34;1;1;1;Fontenay-sous-Bois
9102;Londres - Place d'Estienne d'Orves;48.87669381;2.330536209;25;1;1;1;Paris
44011;Lebrun - Colonel Fabien;48.78266871;2.381317802;27;1;1;1;Vitry-sur-Seine
18044;Clichy - Douai;48.88411832;2.328728735;32;1;1;1;Paris
12101;Charenton - Prague;48.84817513;2.376358449;26;1;1;1;Paris
22202;Jean Marin Naudin - Stalingrad;48.8057139;2.320202328;30;1;0;0;Bagneux
21707;Square Etienne Jarousse;48.82485183;2.292593345;25;1;1;1;Vanves
18030;Joseph Dijon - Ornano;48.89374453;2.347667813;37;1;1;1;Paris
4019;Cloître Saint-Merri - Renard;48.85883545;2.351827919;32;1;1;1;Paris
92006;Place Nelson Mandela;48.89787432;2.218282074;30;1;1;1;Nanterre
13010;Place d'Italie - Vincent Auriol;48.83148187;2.356755029;40;1;1;1;Paris
5024;Place Monge;48.8427618;2.352407947;21;1;1;1;Paris
3102;Bourg l'Abbé - Saint-Martin;48.86393332;2.352406271;42;1;1;1;Paris
31005;Square Denise Buisson;48.85623227;2.426436245;45;1;1;1;Montreuil
20015;Bagnolet - Orteaux;48.85708641;2.398412526;36;1;1;1;Paris
12038;Picpus - Louis Braille;48.83998879;2.400525669;44;1;1;1;Paris
51001;Gare d'Argenteuil;48.94702244;2.256898172;40;1;1;1;Argenteuil
13516;Glacière - Soeur Catherine Marie;48.82952299;2.343570404;40;1;1;1;Paris
8027;Mairie du 8ème;48.877932;2.318264;14;1;1;1;Paris
12155;Rottembourg - Général Michel Bizot;48.83787826;2.404405251;43;1;1;1;Paris
15039;Abbé Groult - Convention;48.83596928;2.30206404;12;1;1;1;Paris
7109;Place Joffre - Frédéric le Play;48.85375449;2.304424234;38;1;1;1;Paris
21315;Jules Guesdes - Général de Gaulle;48.81930581;2.278934196;24;1;1;1;Issy-les-Moulineaux
4010;Saint-Antoine Sévigné;48.8550222;2.3612322;26;1;1;1;Paris
2112;Bibliothèque Nationale - Richelieu;48.86828899;2.33808931;17;1;1;1;Paris
8116;Champs-Elysees - Bassano;48.87181181;2.300238982;25;1;0;0;Paris
15006;Cherche-Midi - Hôpital Necker;48.84461063;2.317914069;38;1;1;1;Paris
15129;Hôpital Necker;48.84604349;2.313245013;40;1;1;1;Paris
41403;Gare RER - Malleret-Joinville;48.802936;2.42531;20;1;1;1;Alfortville
6022;Marché Saint-Germain;48.85165626;2.335500307;21;1;1;1;Paris
21303;Jean Monnet - Iles;48.82339398;2.249707319;32;1;1;1;Issy-les-Moulineaux
21402;Place Aimé Césaire;48.78319471;2.242912799;27;1;1;1;Clamart
13052;Leredde - Tolbiac;48.8288763;2.374438271;44;1;1;1;Paris
9007;Condorcet - Turgot;48.87985156;2.345232368;20;1;1;1;Paris
15127;Place Charles Michels;48.846401;2.28502;37;1;1;1;Paris
23102;Hôtel de Ville de Sèvres;48.82436356;2.21310474;32;1;1;1;Sèvres
13035;Choisy - Tolbiac;48.82591156;2.360239327;26;1;1;1;Paris
33014;Parc Eli Lotar;48.91844993;2.372708581;20;1;1;1;Aubervilliers
15036;Croix Nivert - Square Saint-Lambert;48.84305152;2.295200452;47;1;1;1;Paris
11033;Bréguet - Sabin;48.85693168;2.370674946;33;1;1;1;Paris
10033;Gare du Nord - Saint-Vincent de Paul;48.88095574;2.352430515;24;1;1;1;Paris
17024;Villiers - Batignolles;48.88125254;2.316538431;23;1;1;1;Paris
20105;Benoît Frachon - République;48.85230729;2.415605485;30;1;1;1;Paris
14032;Mairie du 14ème;48.83254578;2.325492315;32;1;1;1;Paris
