"station_code","mechanical_available","electric_available"
"31104",19,5
"12109",4,13
"10013",2,2
"8026",1,8
"13007",2,5
"5110",1,4
"33006",1,5
"41301",6,2
"21010",1,4
"17026",4,1
"17038",11,4
"7003",4,19
"7001",0,8
"14108",0,0
"31024",0,0
"17044",1,0
"43002",1,20
"21216",5,9
"22207",2,13
"92002",3,6
"19027",0,0
"44017",5,17
"16118",0,3
"14013",0,1
"7011",10,12
"18111",1,0
"48003",3,9
"18134",2,0
"9014",1,2
"43009",7,10
"9001",0,2
"8016",10,15
"10162",0,0
"10115",1,1
"41303",3,22
"7018",5,7
"12031",3,33
"9106",4,7
"17040",2,6
"9038",1,1
"8009",9,13
"1001",6,8
"19105",0,0
"31103",30,2
"6001",6,9
"7025",13,15
"31706",2,4
"22409",0,0
"9022",12,20
"26003",1,0
"17004",0,1
"8036",11,10
"12151",7,48
"31024_relais",0,0
"18107",2,1
"16026",2,0
"10107",2,1
"11027",4,2
"11002",2,17
"11023",3,1
"45003",5,3
"8034",8,20
"20042",2,0
"6006",3,4
"12128",3,31
"8010",2,0
"19101",1,1
"14003",1,2
"46002",14,20
"18003",0,0
"11113",2,0
"42706",4,1
"33017",2,2
"15042",8,7
"18011",1,0
"43008",1,1
"8045",12,20
"13001",5,2
"44006",5,1
"15105",5,11
"5004",3,6
"12114",0,1
"14138",2,0
"46003",14,9
"18031",2,1
"42014",10,21
"8017",27,22
"15054",1,5
"14008",2,2
"5124",3,0
"10042",5,1
"31102",1,0
"2111",7,19
"21209",1,1
"18022",1,0
"14012",2,0
"15133",2,3
"22203",1,1
"1119",14,2
"35020",0,0
"31003",2,9
"9116",4,10
"21008",3,5
"11039",0,2
"11026",1,2
"13050",2,49
"19024",1,1
"9010",4,0
"11024",5,4
"15103",3,10
"18009",0,1
"16136",1,6
"19022",3,0
"20134",0,0
"14136",4,0
"8025",13,22
"10014",2,6
"11035",5,0
"15046",0,1
"32003",5,5
"11042",3,4
"9005",1,1
"7102",0,20
"42504",1,5
"42015",3,3
"32016",1,2
"31010",0,0
"5006",4,0
"92008",4,3
"43003",6,4
"11004",3,25
"7005",2,28
"11036",4,1
"14036",1,0
"19008",2,1
"9021",0,2
"23009",2,4
"12027",1,4
"42029",2,3
"28001",5,9
"26007",5,3
"17102",2,2
"19005",2,2
"14021",5,0
"12115",1,0
"41606",5,6
"43402",8,30
"33018",4,10
"12013",1,2
"10113",1,0
"11009",4,0
"21305",5,12
"16121",6,6
"18141",4,0
"24002",0,0
"17037",1,0
"16124",1,28
"33003",3,2
"25005",0,0
"13045",4,1
"19115",2,3
"16018",1,0
"15010",2,14
"12034",9,11
"7009",28,31
"15033",2,1
"15122",0,0
"12029",7,5
"19019",2,0
"21403",2,0
"20036",1,0
"35009",2,2
"8055",2,3
"27002",0,15
"20120",2,0
"21502",2,14
"14001",4,6
"42023",4,11
"16129",6,7
"35019",6,7
"14104",0,0
"15017",1,2
"15029",1,11
"31702",0,0
"5002",2,11
"10005",5,0
"5116",6,21
"92004",10,2
"20136",1,0
"15028",2,25
"8102",8,15
"8012",5,0
"23011",6,6
"7006",2,27
"11114",1,4
"17017",4,0
"21105",1,5
"13026",3,9
"23002",11,23
"15055",5,12
"14130",1,1
"41207",14,9
"34002",3,1
"7014",9,18
"10023",0,0
"21308",12,21
"21019",15,11
"19037",2,0
"19109",1,1
"32014",1,0
"44012",0,3
"10165",3,4
"31016",1,4
"22101",8,19
"13016",14,15
"11020",1,2
"8051",0,0
"13043",7,21
"14122",0,1
"44102",6,0
"19039",1,0
"21003",9,0
"9023",10,18
"20021",1,1
"19040",0,0
"26001",4,4
"17047",0,4
"6016",0,7
"11040",0,0
"41204",3,1
"16004",0,0
"17046",1,1
"32017",1,5
"10020",2,4
"19009",6,7
"18109",2,3
"18029",3,0
"6030",0,0
"20118",1,0
"16021",1,9
"9031",6,14
"20023",0,0
"9117",9,5
"31703",2,0
"35014",4,7
"47005",4,22
"15070",2,7
"12107",2,5
"16122",1,4
"15002",1,5
"21310",1,7
"32015",0,4
"10010",3,6
"16043",3,2
"18043",3,0
"1117",7,18
"32004",4,10
"16029",0,15
"18017",2,0
"9017",2,0
"16112",2,1
"8001",13,23
"42703",7,5
"14028",0,0
"13046",3,36
"22102",1,0
"12004",5,17
"6032",3,7
"7020",0,6
"6017",2,11
"10114",2,3
"15058",21,22
"20137",3,0
"31704",0,1
"21024",1,9
"19023",1,1
"32603",2,1
"21311",6,44
"15059",0,12
"8038",8,19
"7016",7,36
"18138",4,2
"4011",9,6
"13041",9,16
"10163",1,0
"31023",0,0
"2001",12,14
"20019",2,0
"7101",9,5
"18137",2,1
"12108",16,38
"18001",0,0
"17016",2,0
"5019",1,5
"18019",3,0
"11034",4,2
"41206",2,2
"19031",2,2
"13114",6,9
"15061",1,13
"23008",2,1
"16016",2,1
"7026",7,13
"21108",4,3
"6014",1,6
"31018",1,9
"2110",17,8
"5030",2,14
"11107",2,24
"9113",3,1
"2014",2,4
"3101",5,13
"23302",11,1
"6031",6,2
"2101",7,11
"21952",7,19
"12154",1,9
"9015",1,5
"17104",1,2
"19030",2,0
"21004",5,8
"22002",3,6
"35008",2,0
"20045",4,1
"11110",2,1
"8032",13,14
"12033",4,29
"12120",2,3
"22012",6,12
"11012",3,2
"18142",2,1
"18014",0,0
"23005",2,16
"12010",1,1
"48009",5,4
"21009",3,16
"4107",7,2
"9013",4,17
"31017",0,0
"18114",1,0
"22103",4,3
"20047",3,2
"22009",17,8
"13117",4,1
"7024",7,22
"31026",0,0
"12129",4,7
"21120",0,0
"19113",0,0
"9016",0,3
"35004",1,4
"33104",1,0
"11031",1,1
"19124",0,0
"35011",0,2
"19036",1,0
"35015",5,4
"32021",7,14
"16007",15,23
"10037",0,0
"5029",0,0
"9036",4,3
"12006",9,39
"15125",9,29
"13515",3,27
"13027",3,1
"11103",3,3
"10153",1,0
"5034",5,37
"6024",0,8
"16009",8,2
"20039",1,1
"14101",9,6
"11109",2,5
"21316",1,0
"31021",1,0
"44002",5,14
"16115",1,1
"13039",1,13
"21031",2,11
"17039",1,5
"5107",2,5
"22604",3,5
"17033",0,0
"42305",5,6
"11032",5,4
"10012",1,0
"21028",0,9
"32301",1,0
"12043",3,18
"21219",2,3
"10018",3,1
"31025",0,0
"13128",7,17
"5014",2,3
"13011",2,2
"32011",21,18
"13033",1,3
"20108",0,0
"18027",3,0
"11038",1,1
"4003",7,11
"16030",3,33
"17015",1,1
"22501",2,7
"15023",3,12
"32001",0,0
"23003",13,6
"17023",0,0
"4016",12,23
"35001",1,3
"13109",3,7
"22206",6,13
"15064",3,21
"25001",4,26
"31007",11,7
"21306",8,41
