"last_reported","station_id","is_installed","is_returning","is_renting","dock_available","mechanical_available","electric_available"
1658261648,213688169,1,1,1,27,5,3
1658261746,653222953,1,1,1,7,4,17
1658261767,516709288,1,1,1,12,4,4
1658261470,36255,1,1,1,20,0,1
1658261779,37815204,1,1,1,13,14,1
1658261739,100769544,1,1,1,7,31,6
1658261778,85002689,1,1,1,32,19,6
1658261770,123095125,1,1,1,21,21,18
1658261320,120827885,1,1,1,11,0,0
1658261721,251039991,1,1,1,21,2,1
1658261450,37874517,1,1,1,20,1,0
1658261758,66491398,1,1,1,20,20,5
1658261545,210403080,1,1,1,11,6,5
1658261486,210561800,1,1,1,14,3,0
1658261747,209063434,1,1,1,17,11,1
1658261705,94555589,1,1,1,18,4,4
1658261601,244498842,1,1,1,36,7,5
1658261387,210405211,1,1,1,17,0,2
1658261438,43195240,1,1,1,17,5,3
1658261207,501862076,1,1,1,19,0,2
1658261683,54000559,1,1,1,38,1,0
1658261762,207633746,1,1,1,48,0,1
1658261518,85043758,1,1,1,33,3,0
1658261644,210566542,1,1,1,58,0,2
1658261600,437597018,1,1,1,25,2,2
1658261714,210565680,1,1,1,26,8,1
1658261638,210397939,1,1,1,10,0,7
1658261667,82405965,1,1,1,34,6,1
1658261699,213682736,1,1,1,37,5,10
1658261587,80101533,1,1,1,32,2,0
1658261443,54000581,1,1,1,26,6,2
1658261460,13105968,1,1,1,20,0,1
1658261199,653208733,1,1,1,34,0,4
1658261762,27415224,1,1,1,30,2,1
1658261627,907054879,1,1,1,6,9,5
1658261608,129094535,1,1,1,33,5,2
1658261564,54000612,1,1,1,39,1,1
1658261695,128986726,1,1,1,30,2,0
1658261561,599135701,1,1,1,14,11,17
1658261659,102747146,1,1,1,23,0,0
1658261740,2515403527,1,1,1,26,2,2
1658261676,653132534,1,1,1,20,2,3
1658261516,506455295,1,1,1,15,0,0
1658261776,1057149522,1,1,1,3,14,3
1658261781,210567545,1,1,1,13,2,2
1658261690,2515085147,1,1,1,13,3,4
1658261662,653197324,1,1,1,16,1,7
1658261740,210408693,1,1,1,19,3,1
1658261639,42950839,1,1,1,14,0,4
1658261715,14813797734,1,1,1,26,0,0
1658261565,88230992,1,1,1,27,1,2
1658261773,499303158,1,1,1,2,20,6
1658261749,27415302,1,1,1,15,5,4
1658261518,27414512,1,1,1,38,2,0
1658261596,210580039,1,1,1,11,2,3
1658261716,49474389,1,1,1,23,0,0
1658261261,128940135,1,1,1,20,0,0
1658261668,35149611,1,1,1,2,8,2
1658261733,1057296253,1,1,1,0,56,5
1658261455,210570888,1,1,1,17,3,0
1658261741,129107656,1,1,1,13,1,6
1658261547,1057228658,1,1,1,11,3,8
1658261655,230873471,1,1,1,14,3,4
1658261667,507934805,1,1,1,19,4,2
1658261783,205047993,1,1,1,41,2,3
1658261711,39799329,1,1,1,32,1,0
1658261698,129164969,1,1,1,31,4,10
1658261730,128989986,1,1,1,28,0,0
1658261729,129004826,1,1,1,11,3,2
1658261355,518825709,1,1,1,20,1,0
1658261567,128930462,1,1,1,28,0,1
1658261497,911767210,1,1,1,18,1,2
1658261551,54000565,1,1,1,15,8,1
1658261711,210586093,1,1,1,21,0,1
1658261704,7254,1,1,1,20,2,2
1658261692,369644630,1,1,1,26,3,2
1658261741,214114469,1,1,1,11,17,2
1658261480,128887067,1,1,1,10,9,0
1658261701,55927887,1,1,1,0,34,1
1658261669,210574471,1,1,1,10,0,4
1658261632,72765603,1,1,1,7,8,4
1658261582,210582921,1,1,1,10,2,2
1658261624,43255030,1,1,1,46,1,1
1658261755,129025451,1,1,1,23,2,2
1658261783,128920403,1,1,1,23,2,1
1658261751,323616530,1,1,1,5,4,3
1658261633,208795867,1,1,1,15,2,0
1658261783,1062192012,1,1,1,7,1,24
1658261745,6296,1,1,1,9,6,1
1658261650,521393180,1,1,1,2,15,4
1658261507,576188379,1,1,1,23,0,0
1658261738,128915891,1,1,1,26,4,3
1658261783,82567101,1,1,1,16,0,5
1652812373,102290754,1,0,0,24,0,0
1658261682,457813746,1,1,1,8,2,5
1658261781,128882438,1,1,1,1,34,3
1658261434,50191171,1,1,1,10,7,5
1658261702,129014600,1,1,1,30,1,2
1658261545,3906153622,1,1,1,0,8,8
1658261751,129087587,1,1,1,19,13,5
1658261692,213693511,1,1,1,22,0,1
1658261644,82379648,1,1,1,29,2,0
1658261537,66491397,1,1,1,55,4,1
1658261346,907081682,1,1,1,0,0,0
1658261744,230877798,1,1,1,30,1,3
1658261379,2515995748,1,1,1,22,0,0
1658261248,27363162,1,1,1,19,3,0
1658261727,129021753,1,1,1,15,0,2
1658261451,210740080,1,1,1,34,12,2
1658261621,54000569,1,1,1,28,7,3
1658261733,80216231,1,1,1,34,3,1
1658261777,336511521,1,1,1,10,1,6
1658261424,129043651,1,1,1,11,9,0
1658261724,82562556,1,1,1,27,16,5
1658261764,129048000,1,1,1,31,9,5
1658261662,1062250686,1,1,1,24,4,7
1658261754,261987383,1,1,1,19,4,2
1658261713,813544903,1,1,1,10,17,2
1658261759,126050442,1,1,1,11,10,0
1658261557,27363489,1,1,1,9,9,6
1658261423,39296638,1,1,1,33,1,0
1658261688,205938683,1,1,1,48,1,4
1658261754,210399835,1,1,1,30,4,5
1658261669,1057324291,1,1,1,51,0,5
1658261663,102324803,1,1,1,32,0,5
1658261698,101763163,1,1,1,0,10,2
1658261736,653133605,1,1,1,1,36,6
1658261709,3906094706,1,1,1,12,7,13
1658261470,27414578,1,1,1,15,1,1
1658261543,508042092,1,1,1,2,28,4
1658261705,42603855,1,1,1,15,1,1
1658261701,818302209,1,1,1,25,12,10
1658261535,13718041,1,1,1,11,1,12
1658261733,265464297,1,1,1,49,0,1
1658261782,1057392676,1,1,1,7,17,10
1658261583,102309973,1,1,1,35,2,6
1658261772,532054446,1,1,1,35,18,2
1658261681,129034587,1,1,1,12,4,0
1658261753,314829539,1,1,1,33,4,12
1658261546,586539770,1,1,1,20,0,2
1658261773,3906335682,1,1,1,21,0,3
1658261597,583539396,1,1,1,4,12,9
1658261569,101753100,1,1,1,15,1,0
1658261465,27415466,1,1,1,9,1,11
1658261729,52393,1,1,1,49,0,1
1658261775,81081358,1,1,1,30,4,5
1658261577,66491385,1,1,1,15,5,3
1658261382,209057581,1,1,1,14,1,3
1658261770,66491389,1,1,1,39,9,8
1658261500,210749865,1,1,1,9,6,3
1658261753,535500589,1,1,1,41,22,1
1658261787,597245295,1,1,1,10,15,10
1658261425,213684314,1,1,1,13,10,0
1658261777,235513935,1,1,1,22,0,5
1658261256,27206194,1,1,1,15,1,2
1658261534,102323152,1,1,1,13,1,4
1658261628,129060764,1,1,1,19,7,0
1658261714,828134511,1,1,1,30,0,1
1658261691,586649404,1,1,1,8,8,8
1658261745,596813170,1,1,1,11,0,4
1658261749,596872103,1,1,1,22,3,5
1658261624,271426439,1,1,1,1,8,10
1658261586,27363187,1,1,1,35,3,6
1658261787,76199461,1,1,1,22,6,3
1658261701,230952057,1,1,1,9,17,4
1658261749,37815993,1,1,1,1,29,4
1658261778,88140066,1,1,1,51,9,2
1658261480,213683101,1,1,1,2,11,6
1658261732,213684750,1,1,1,20,12,3
1658261474,129067920,1,1,1,37,1,1
1658261588,2515049357,1,1,1,23,1,0
1658261248,27364743,1,1,1,17,1,2
1658261633,102314792,1,1,1,14,2,16
1658261424,35447568,1,1,1,18,1,4
1658261730,129038848,1,1,1,14,0,0
1658261424,27415736,1,1,1,25,1,3
1658261778,583178525,1,1,1,13,0,7
