"last_reported","station_id","is_installed","is_returning","is_renting","dock_available","mechanical_available","electric_available"
1657821401,213688169,1,1,1,27,5,3
1657821392,653222953,1,1,1,7,2,19
1657821345,516709288,1,1,1,14,0,5
1657821595,36255,1,1,1,17,3,1
1657821564,37815204,1,1,1,24,4,1
1657821513,100769544,1,1,1,13,24,7
1657821555,85002689,1,1,1,30,24,4
1657821591,123095125,1,1,1,39,10,6
1657821478,120827885,1,1,1,11,0,1
1657821551,251039991,1,1,1,24,1,0
1657821353,37874517,1,1,1,20,0,0
1657821454,66491398,1,1,1,37,7,3
1657821238,210403080,1,1,1,20,0,2
1657821560,210561800,1,1,1,12,3,0
1657821427,209063434,1,1,1,30,0,0
1657821431,94555589,1,1,1,25,2,0
1657821331,244498842,1,1,1,23,16,8
1657821563,43195240,1,1,1,18,4,3
1657821429,210405211,1,1,1,16,2,1
1657821589,501862076,1,1,1,15,0,6
1657821516,54000559,1,1,1,34,2,3
1657821299,207633746,1,1,1,49,1,0
1657821383,85043758,1,1,1,32,4,0
1657821615,210566542,1,1,1,48,10,2
1657821311,437597018,1,1,1,15,8,3
1657821579,210565680,1,1,1,14,16,4
1657821616,210397939,1,1,1,13,1,3
1657821566,82405965,1,1,1,34,4,2
1657821230,213682736,1,1,1,43,5,3
1657821189,80101533,1,1,1,31,1,2
1657821547,54000581,1,1,1,30,2,2
1657821607,13105968,1,1,1,20,1,0
1657821399,653208733,1,1,1,37,0,1
1657821559,27415224,1,1,1,2,24,7
1657821516,907054879,1,1,1,0,16,2
1657821433,129094535,1,1,1,33,6,1
1657821433,54000612,1,1,1,40,1,0
1657821378,128986726,1,1,1,31,1,1
1657821557,599135701,1,1,1,36,7,1
1657821592,102747146,1,1,1,19,6,1
1657821294,2515403527,1,1,1,13,9,8
1657821413,653132534,1,1,1,24,0,1
1657821565,506455295,1,1,1,12,1,3
1657821470,1057149522,1,1,1,10,9,3
1657821360,210567545,1,1,1,8,9,1
1657821595,2515085147,1,1,1,9,6,5
1657821479,653197324,1,1,1,10,7,7
1657821450,210408693,1,1,1,16,5,4
1657821416,42950839,1,1,1,17,0,0
1657821608,14813797734,1,1,1,4,8,16
1657821383,88230992,1,1,1,28,0,1
1657821609,499303158,1,1,1,6,17,6
1657821598,27415302,1,1,1,21,3,2
1657821349,27414512,1,1,1,40,0,0
1657821257,210580039,1,1,1,15,0,2
1657821594,49474389,1,1,1,18,3,2
1657821568,128940135,1,1,1,7,3,9
1657821410,35149611,1,1,1,13,0,1
1657821582,1057296253,1,1,1,16,39,4
1657821583,210570888,1,1,1,0,16,4
1657821477,129107656,1,1,1,19,0,4
1657821584,1057228658,1,1,1,10,8,3
1657821547,230873471,1,1,1,13,5,3
1657821448,507934805,1,1,1,8,9,6
1657821506,205047993,1,1,1,27,13,6
1657821336,39799329,1,1,1,30,2,2
1657821547,129164969,1,1,1,28,19,2
1657821113,128989986,1,1,1,25,0,3
1657821330,129004826,1,1,1,16,0,1
1657821221,518825709,1,1,1,20,0,1
1657821599,128930462,1,1,1,24,1,2
1657821615,911767210,1,1,1,19,2,1
1657821544,54000565,1,1,1,24,0,2
1657821373,210586093,1,1,1,23,0,0
1657821577,7254,1,1,1,22,0,2
1657821605,369644630,1,1,1,27,3,2
1657821598,214114469,1,1,1,6,21,3
1657821510,128887067,1,1,1,1,11,6
1657821599,55927887,1,1,1,0,24,9
1657821400,210574471,1,1,1,10,1,3
1657821277,72765603,1,1,1,16,2,2
1657821595,210582921,1,1,1,11,2,1
1657821591,43255030,1,1,1,44,0,4
1657821555,129025451,1,1,1,23,0,3
1657821059,128920403,1,1,1,22,4,1
1657821483,323616530,1,1,1,1,8,5
1657821361,208795867,1,1,1,15,1,1
1657821444,1062192012,1,1,1,1,4,27
1657821585,6296,1,1,1,8,8,1
1657821417,521393180,1,1,1,3,15,4
1657821484,576188379,1,1,1,21,0,2
1657821472,82567101,1,1,1,17,1,3
1652812373,102290754,1,0,0,24,0,0
1657821532,457813746,1,1,1,11,2,2
1657821569,128882438,1,1,1,12,21,6
1657821593,50191171,1,1,1,18,3,1
1657821491,129014600,1,1,1,27,2,2
1657821589,3906153622,1,1,1,8,2,6
1657821336,129087587,1,1,1,37,1,2
1657821601,213693511,1,1,1,20,1,1
1657821491,82379648,1,1,1,28,1,2
1657821520,66491397,1,1,1,12,37,10
1657821503,907081682,1,1,1,0,0,0
1657821173,230877798,1,1,1,31,2,0
1657821160,128915891,1,0,0,33,0,0
1657821206,2515995748,1,1,1,18,2,2
1657821592,27363162,1,1,1,8,11,3
1657821517,129021753,1,1,1,17,0,0
1657821269,210740080,1,1,1,47,0,0
1657821549,54000569,1,1,1,35,0,2
1657821238,80216231,1,1,1,36,1,1
1657821091,336511521,1,1,1,14,0,3
1657821547,129043651,1,1,1,17,5,1
1657821421,82562556,1,1,1,30,16,3
1657821512,129048000,1,1,1,40,0,5
1657821449,1062250686,1,1,1,26,4,6
