"station_code","mechanical_available","electric_available"
"21702",0,0
"15043",3,2
"20009",4,1
"17033",0,0
"11032",8,3
"10012",1,1
"16003",3,1
"42003",7,11
"32301",3,1
"12043",7,28
"21219",4,7
"22008",6,2
"31025",0,2
"13128",4,10
"13011",2,1
"42701",6,0
"20108",3,0
"4003",4,5
"16030",3,24
"8020",0,0
"32001",0,0
"17023",3,5
"19108",5,10
"4016",12,32
"10105",5,5
"13109",0,13
"4002",3,13
"13106",3,0
"15030",3,32
"35007",4,1
"47001",1,41
"44101",9,30
"21306",13,28
"8037",3,8
"18038",4,5
"92001",4,0
"23004",3,3
"43010",3,0
"16002",3,0
"23010",9,5
"15057",9,23
"15005",3,9
"19128",3,3
"18006",6,1
"6027",1,4
"9027",1,1
"17108",7,9
"4020",10,11
"15022",3,7
"33015",4,13
"9024",12,7
"15311",6,3
"18041",2,2
"44016",7,18
"44005",7,7
"17119",2,0
"7017",3,0
"15071",4,17
"4021",7,17
"32601",0,0
"15102",2,10
"33016",4,6
"6012",2,3
"13009",1,3
"21501",5,6
"9102",1,7
"22202",0,0
"9006",1,0
"18030",2,0
"92006",2,0
"31005",12,2
"12038",4,2
"13516",4,15
"12155",1,23
"7109",0,2
"13025",2,15
"1003",14,26
"41211",3,1
"44011",12,3
"12101",3,21
"21707",1,1
"8116",0,0
"3102",5,7
"20015",2,0
"51001",2,19
"15039",1,0
"21315",3,1
"2112",4,9
"15006",2,7
"9007",1,0
"41403",2,14
"21303",2,25
"11033",4,8
"13052",3,28
"17024",4,0
"15127",0,16
"13035",1,1
"20105",9,10
"14032",4,0
"41401",1,9
"6002",1,5
"14031",4,2
"10019",4,10
"14011",1,2
"41203",0,1
"11001",9,27
"16005",2,4
"15008",5,9
"20022",0,3
"15001",10,24
"5007",0,1
"14026",2,3
"10008",2,0
"16036",5,16
"42505",1,27
"8117",12,13
"12015",1,10
"48004",2,1
"26004",3,2
"18139",4,0
"11112",2,1
"6010",1,1
"22201",6,1
"3008",9,6
"5015",3,3
"10032",1,3
"45002",6,18
"16042",6,11
"18202",1,4
"12037",6,3
"16037",6,12
"47003",3,14
"18004",3,5
"20008",2,3
"12019",4,4
"20104",1,1
"14135",3,0
"12156",4,3
"4108",1,4
"9009",1,2
"8110",3,4
"10034",4,0
"19201",0,1
"19010",0,1
"22301",2,8
"41405",4,17
"20006",1,2
"32013",5,3
"21953",2,0
"7021",4,6
"31709",7,1
"10006",3,7
"10011",1,4
"10027",1,3
"22401",2,0
"21506",10,0
"4103",10,13
"20029",1,0
"2003",1,2
"22503",4,4
"1102",10,16
"19129",0,0
"2021",6,23
"3009",2,1
"3012",4,2
"23702",3,2
"22306",4,5
"14022",1,2
"13125",21,27
"19012",3,0
"21507",0,1
"14023",2,1
"22502",1,18
"18136",4,0
"22504",3,0
"48005",11,1
"14133",3,0
"42211",11,10
"21215",2,2
"42704",3,3
"4012",2,4
"4101",3,5
"4017",0,0
"26006",7,18
"42026",4,2
"16044",3,23
"12163",6,21
"10041",3,1
"3004",7,5
"4007",1,1
"1012",5,12
"35012",5,0
"18015",2,1
"1025",1,16
"33020",8,10
"13038",3,19
"12157",7,5
"2008",13,9
"4018",2,14
"1018",5,15
"15040",0,6
"14134",2,0
"17021",3,3
"6026",4,7
"22601",6,4
"48008",19,2
"6007",2,4
"31020",2,6
"16139",1,0
"18112",2,7
"42028",3,6
"12166",4,2
"22603",0,0
"2006",7,11
"16010",2,1
"9019",2,2
"2109",0,0
"23042",10,9
"19046",4,2
"1024",4,11
"21011",3,9
"12016",1,10
"10166",3,4
"20048",1,1
"15018",2,0
"17020",3,1
"23206",2,1
"13049",6,16
"6015",2,6
"20142",1,0
"25007",1,0
"42024",12,8
"21704",1,12
"19121",1,0
"18135",2,2
"24101",10,0
"32012",4,10
"12123",12,37
"21002",5,4
"24004",3,4
"13015",12,20
"13024",0,1
"13116",8,9
"12119",4,22
"19117",4,0
"10003",3,2
"15024",1,2
"21022",2,6
"18010",2,1
"13036",3,6
"20110",1,0
"20012",1,2
