"station_code","mechanical_available","electric_available"
"9020",2,0
"12109",2,19
"8026",1,0
"13007",5,2
"5110",1,2
"42016",2,1
"6021",1,6
"17026",0,2
"17038",5,2
"17041",1,1
"5016",7,3
"14108",0,1
"47007",4,12
"20143",0,3
"16138",8,16
"21216",0,0
"22207",0,14
"92002",2,0
"16118",2,5
"9008",1,0
"13118",2,54
"7011",0,4
"18111",1,0
"18134",1,0
"43009",2,3
"8053",2,0
"10162",2,2
"10115",1,2
"41303",5,25
"9002",1,1
"17040",2,0
"8009",4,2
"1001",4,8
"19105",2,1
"31103",27,2
"6001",3,3
"17008",0,3
"7025",11,19
"31706",9,3
"22409",1,2
"5020",9,30
"9022",1,0
"8036",2,0
"18107",0,0
"16026",0,1
"11002",8,8
"11023",3,1
"45003",8,2
"31009",1,0
"17030",1,0
"14020",1,2
"20042",2,0
"43401",15,24
"6006",6,2
"12128",4,29
"46002",7,22
"41302",37,8
"21212",2,0
"33017",6,1
"19044",1,5
"8045",4,23
"19103",1,0
"12114",2,4
"41209",11,0
"42014",0,27
"5018",3,12
"15106",5,4
"10042",0,2
"2111",4,8
"8054",0,2
"15109",4,21
"14012",0,1
"14124",3,0
"15133",1,4
"15110",5,4
"21006",3,4
"31008",3,5
"21015",1,2
"44003",4,4
"15034",3,6
"41404",3,20
"22203",0,0
"41202",1,29
"42021",1,20
"11030",4,2
"25003",3,10
"20115",0,1
"31003",2,1
"22402",1,0
"21008",6,5
"11039",1,2
"17013",4,0
"5106",0,2
"32604",0,0
"19024",5,1
"15021",1,7
"11105",2,9
"11024",7,4
"22003",1,2
"41601",4,6
"14110",0,0
"17125",2,1
"16108",0,1
"43005",3,23
"19032",5,4
"21701",3,2
"8057",1,3
"14136",2,0
"8025",1,1
"13002",0,10
"11035",7,1
"42010",6,38
"46001",10,7
"22006",1,1
"17028",3,16
"21301",5,23
"32003",2,0
"11042",5,4
"9005",1,0
"15013",4,4
"12009",5,6
"20121",1,1
"42015",0,0
"32016",2,2
"15201",2,1
"5006",7,0
"41402",3,17
"43003",2,0
"11004",9,17
"7005",3,1
"14036",4,0
"18201",1,2
"12027",3,9
"11007",3,17
"42029",2,10
"21313",1,22
"6013",1,0
"17102",3,3
"7015",1,4
"14021",2,4
"15025",3,15
"18110",1,0
"12115",1,2
"43402",3,34
"33018",5,20
"10113",1,0
"11115",9,2
"14117",7,6
"24002",0,0
"41102",4,18
"19004",5,5
"16124",18,47
"33003",5,1
"20043",1,2
"33009",7,8
"25005",0,0
"13045",6,5
"19115",2,10
"14034",1,2
"15010",1,10
"12034",13,26
"7009",2,13
"17042",5,6
"15033",2,21
"33019",7,8
"12029",5,20
"5114",1,2
"19019",2,0
"42707",5,10
"20036",0,0
"92003",7,3
"5119",2,2
"35009",2,1
"31705",2,0
"13014",7,2
"20120",0,0
"31012",1,0
"42023",0,1
"35019",8,5
"14104",0,3
"41604",4,2
"15029",0,12
"5002",4,27
"18005",1,0
"10005",7,3
"5116",6,28
"92004",0,1
"18020",0,0
"5026",2,32
"15028",5,26
"8012",1,1
"14018",0,0
"21013",0,3
"2010",2,0
"20040",0,0
"17017",2,1
"23002",6,1
"11101",5,9
"16006",1,1
"12032",5,11
"19037",0,1
"20109",0,0
"15038",7,10
"21032",0,3
"31019",5,2
"32014",8,1
"18032",0,2
"17124",0,1
"17027",1,2
"10165",3,0
"31016",1,0
"22101",9,14
"13016",3,17
"11020",0,4
"8051",3,0
"44102",14,1
"19039",2,0
"18025",2,3
"20027",0,0
"9023",3,3
"20021",1,1
"26001",4,10
"17047",1,0
"11040",4,12
"16004",0,0
"17121",1,0
"10020",2,0
"19009",12,14
"18029",3,0
"21703",1,0
"20118",3,3
"16021",3,4
"9031",4,15
"20023",3,0
