"station_code","mechanical_available","electric_available"
"16107",4,0
"31104",20,4
"11104",3,1
"5001",1,0
"14014",2,13
"10013",3,4
"8026",2,4
"14111",2,1
"6003",1,1
"13007",5,23
"5110",1,0
"6108",0,0
"6021",2,0
"17026",4,2
"17038",1,1
"7003",2,5
"5016",0,0
"15047",5,14
"15026",3,18
"47007",7,11
"17044",3,4
"8050",6,2
"13030",0,1
"19027",1,0
"31028",1,8
"8103",4,9
"8048",5,1
"14013",0,0
"13118",5,50
"7011",5,2
"16110",5,1
"14002",1,1
"9014",3,3
"17032",1,0
"8016",11,10
"10115",2,3
"10029",0,0
"5005",0,1
"7018",9,7
"9002",1,0
"5022",0,0
"8009",2,0
"1001",2,3
"31103",29,4
"6001",0,4
"17008",5,6
"7025",12,16
"31706",5,0
"22409",2,1
"5020",1,0
"26003",1,0
"8036",18,4
"9028",2,1
"11027",0,10
"11002",3,9
"16039",1,5
"11047",1,7
"17030",1,0
"8034",8,10
"19043",6,8
"14020",3,6
"20042",3,0
"43401",10,31
"6006",1,7
"12128",2,32
"31022",30,2
"14003",2,2
"41302",21,8
"42706",4,1
"20112",1,1
"43008",1,8
"8045",8,24
"13001",2,6
"15105",1,1
"19120",0,0
"5004",1,0
"12114",1,1
"46003",14,8
"21312",2,2
"18028",3,7
"42014",3,18
"8017",0,0
"15106",1,11
"5124",3,4
"31102",12,1
"2111",3,6
"8054",5,3
"15109",0,3
"18022",1,1
"14124",2,8
"15110",4,12
"21006",6,7
"44013",12,5
"31008",6,2
"41404",2,20
"48010",3,4
"41202",5,33
"1119",6,1
"31708",6,2
"35020",0,0
"25003",6,11
"20115",2,1
"31003",3,1
"9116",4,9
"5106",0,2
"11026",1,5
"13050",7,23
"32604",0,0
"15021",0,4
"17105",0,9
"11105",0,9
"11024",6,19
"15103",0,11
"18009",1,0
"22003",7,10
"41601",1,4
"17125",1,0
"16108",1,5
"16136",3,6
"19022",3,1
"21701",8,4
"22016",2,5
"5123",1,3
"13002",1,9
"42010",4,45
"16040",2,14
"22006",2,5
"17028",0,4
"21301",1,27
"19029",1,0
"9032",13,10
"21104",4,14
"11042",2,3
"9005",1,0
"12009",1,4
"42504",9,4
"20121",0,6
"20111",4,0
"92008",2,2
"7005",3,8
"18012",2,6
"19125",5,1
"14036",3,0
"18201",18,8
"19008",1,1
"23009",3,4
"32303",11,8
"42029",8,12
"28001",3,9
"17102",1,0
"16111",0,15
"14021",1,2
"18110",1,3
"32602",0,0
"12115",1,8
"41606",5,7
"17045",2,1
"33018",4,19
"23001",11,19
"24002",0,0
"41102",12,14
"17037",2,2
"11102",3,17
"19004",2,0
"16124",5,30
"33003",9,3
"20043",11,2
"5021",1,6
"13045",1,3
"12034",3,3
"15033",2,8
"8033",10,7
"12029",1,24
"33001",9,6
"16034",3,7
"5114",0,3
"21403",2,1
"12030",3,11
"92003",10,6
"5119",0,9
"35009",2,7
"13014",1,9
"21109",1,9
"17007",0,3
"21502",1,5
"14001",1,4
"16129",7,7
"14104",0,1
"15029",2,16
"31702",2,0
"5002",0,0
"5116",6,13
"92004",4,4
"5026",2,33
"43006",0,1
"15028",1,7
"8102",5,4
"14018",3,30
"21013",1,14
"42503",2,7
"23011",12,2
"7006",1,10
"11114",2,5
"17017",2,1
"13026",4,14
"23002",8,5
"14139",6,21
"11101",2,21
"34002",5,11
"7014",3,2
"10023",1,0
"12011",4,2
"12032",0,21
"6107",1,0
"19109",3,3
"32014",7,6
"18032",1,3
"17124",18,3
"44012",5,1
"10165",0,1
"51003",9,16
"13016",2,5
"11020",2,19
"8051",0,0
"44102",9,15
"16123",4,3
"16032",1,8
"21003",8,11
"18025",0,14
"20021",10,6
"15108",1,2
"26001",4,9
"11040",2,4
"16004",0,0
"17046",1,3
"32017",4,4
"47006",0,12
"10020",1,0
"19038",2,0
"6030",0,0
"20118",2,6
"16021",0,14
"9031",1,8
"20023",4,2
"31703",5,0
"35003",10,7
"21014",3,2
"35014",2,0
"11006",1,0
"16015",4,2
"15070",6,7
"9026",0,1
"21001",9,16
"18033",2,0
"11010",4,12
"20116",0,4
"23007",3,5
"10010",1,1
"16043",0,0
"16027",1,2
"1117",3,13
"1120",5,3
"11043",2,3
"32004",3,1
"18017",3,0
"9017",2,2
"13103",5,20
"42703",11,11
"14028",0,0
"13046",4,31
"15003",23,11
"4110",1,0
"6032",0,2
"7020",3,2
"10114",5,9
"15058",9,9
"19041",2,1
"21114",2,5
"20137",1,0
"15107",3,3
"32603",0,0
"15059",4,10
"8038",6,14
"8056",5,1
"4011",2,3
"45001",8,10
"14006",2,1
"13041",30,5
"9118",2,0
"4013",0,0
"2001",2,3
"20019",2,0
"17116",8,10
"12108",10,52
"31013",7,3
"17016",3,0
"5019",1,1
"18019",0,0
"11003",1,8
"11034",3,0
"15020",0,18
"13114",3,6
"1016",4,2
"8015",4,14
"6014",0,1
"14116",2,9
"33005",4,7
"2110",2,7
"13019",1,9
"9113",2,3
"20103",1,1
"2014",8,5
"23302",11,1
"8049",4,0
"6031",2,1
"2101",4,4
"21952",4,26
"12154",2,12
"10164",4,0
"9015",3,3
"19021",1,0
"11044",1,5
"23105",2,1
"19030",3,2
"22002",2,5
"35008",2,1
"13022",1,1
"20045",3,1
"12127",6,16
"11012",4,4
"18014",2,1
"18035",11,11
"13110",4,0
"14127",0,2
"42011",7,15
"15009",5,12
"12010",2,14
"48009",10,5
"13047",2,37
"23006",2,10
"22403",4,11
"92005",3,6
"22103",3,10
"13117",24,4
"12125",3,3
"31101",6,1
"17001",0,5
"12129",2,9
"21120",0,0
"8011",0,0
"13021",2,3
"11031",4,7
"19036",17,2
"14113",6,6
"15060",2,9
"16007",7,10
"15131",2,4
"10037",0,1
"5029",0,0
"16014",5,10
"9036",2,1
"12006",13,34
"10152",0,0
"13027",4,4
"21118",0,1
"10004",3,2
"10153",1,1
"8008",3,1
"5034",2,34
"6024",0,3
"21115",0,2
"19025",0,0
"16009",0,2
"15072",1,9
"21708",2,1
"10017",1,0
"14101",5,11
"13048",1,3
"41210",9,0
"15052",5,23
"44002",5,10
"15123",2,6
"13121",10,34
"21030",3,7
"21031",0,10
"21702",1,3
"5107",1,0
"17033",0,0
"9101",0,1
"11032",2,1
"10012",3,0
"21028",4,4
"32301",6,1
"12043",7,27
"21219",8,8
"22008",6,0
"13128",3,5
"5014",3,2
"20122",2,4
"15023",2,1
"4001",7,2
"14131",3,13
"6008",0,0
"10105",0,2
"4002",6,13
"21204",4,5
"42209",6,7
"17003",2,1
"21217",0,2
"15064",4,8
"15030",3,37
"25001",3,19
"44101",10,29
"8037",2,4
"27004",13,7
"22303",2,3
"18038",1,17
"92001",5,0
"23004",2,2
"43010",2,0
"17107",1,2
"16002",1,1
"23010",0,1
"18007",0,3
"15005",3,7
"19128",1,2
"22408",0,0
"13044",0,6
"9027",0,0
"17108",3,4
"41205",5,2
"16001",8,4
"1021",3,1
"9024",2,5
"35006",4,4
"18041",0,2
"22015",2,4
"12018",2,1
"44005",7,8
"17119",2,4
"15011",2,6
"9004",2,0
"15071",1,20
"15102",2,11
"12026",10,25
"27005",6,5
"21501",2,6
"21319",5,6
"9102",4,7
"18044",2,1
"22202",0,0
"9006",0,1
"21314",4,9
"92006",2,1
"5024",1,5
"12005",2,1
"12038",3,17
"13516",2,24
"12155",3,25
"7109",1,3
"12028",6,14
"12035",1,15
"1003",2,4
"44011",9,3
"21707",0,0
"4019",1,2
"8116",0,0
"13010",11,22
"15129",10,19
"20015",2,3
"51001",1,19
"8027",3,3
"15039",0,4
"21315",0,2
"21402",3,0
"41403",4,12
"11033",5,7
"13052",3,19
"13035",1,7
"20105",9,3
"14031",1,4
"20044",1,1
"16019",4,1
"33012",3,10
"41203",0,4
"11001",5,8
"18039",2,4
"16005",3,3
"20022",1,6
"5007",0,0
"16105",3,1
"10008",1,0
"16012",5,6
"16036",4,11
"42505",5,24
"48004",10,1
"18139",5,0
"1020",4,25
"1006",1,3
"6010",1,1
"3008",6,4
"10032",1,15
"45002",3,19
"16042",4,7
"15128",2,11
"44014",9,3
"12037",6,7
"17019",1,7
"47003",3,12
"16013",4,8
"7012",3,7
"20008",1,1
"14103",0,0
"6104",1,1
"14135",9,14
"20001",3,5
"4108",0,1
"19002",6,10
"9009",1,0
"9037",2,0
"10034",2,0
"19201",1,2
"19010",2,4
"41405",4,16
"20006",2,8
"21026",7,2
"32013",4,2
"16103",2,1
"7021",2,1
"12112",3,16
"31709",12,5
"10006",2,0
"8028",6,3
"10009",0,3
"11037",4,1
"21506",12,0
"20029",0,0
"22503",2,6
"1102",0,2
"5122",0,2
"3005",0,0
"24006",2,2
"3009",2,1
"14132",2,1
"4014",1,5
"26005",2,6
"3012",1,1
"14022",12,4
"13125",14,13
"19012",7,0
"12020",4,6
"21507",1,0
"22502",2,15
"15062",4,25
"18136",1,0
"22504",1,5
"9111",3,3
"48005",6,1
"1014",8,4
"14133",0,2
"42211",11,9
"21215",3,6
"4009",0,0
"4017",0,0
"2012",10,10
"44001",3,23
"12163",7,23
"21509",3,1
"3002",2,3
"10041",1,0
"4007",0,1
"13054",10,14
"1012",2,4
"2004",0,4
"19130",2,1
"35012",3,0
"21505",1,0
"9039",5,5
"22506",2,9
"13038",3,16
"12157",2,8
"2008",10,5
"32019",7,14
"23101",5,1
"4018",1,0
"1018",6,8
"1116",1,3
"15040",1,3
"14134",2,5
"17021",2,5
"42018",13,4
"1023",5,12
"48008",19,6
"28005",9,8
"5003",0,0
"6007",2,0
"16139",1,1
"10201",1,0
"27006",2,6
"42028",3,12
"22603",2,0
"1015",0,0
"2006",1,4
"16010",1,7
"21119",9,10
"2102",6,6
"2109",0,0
"23042",7,7
"42019",7,26
"32020",5,0
"19046",3,8
"1008",3,4
"44004",7,16
"20010",2,0
"23104",3,11
"12016",2,12
"42210",1,28
"20140",4,1
"48012",7,7
"20048",1,8
"2022",5,7
"45004",24,12
"23206",5,2
"6015",0,2
"5027",3,12
"20142",3,1
"51008",11,1
"42024",9,3
"21704",1,10
"19121",7,0
"18135",2,11
"24101",10,0
"19114",0,11
"8018",4,8
"13015",1,3
"19006",1,3
"13024",2,7
"23041",5,15
"13116",9,11
"11111",0,3
"13006",0,32
"12119",5,25
"48006",4,3
"19117",1,1
"10003",2,2
"21022",1,8
"18010",3,2
"8052",5,4
"11022",3,7
"41103",11,9
"41602",3,0
"13036",2,10
"14027",1,3
"20110",1,0
"48002",16,5
"41605",1,4
"13120",3,12
"35013",5,0
"20020",10,9
"12102",6,19
"24005",0,2
"22701",0,0
"14004",2,8
"20032",0,0
"15050",1,4
"6025",12,13
"18021",0,1
"16116",1,12
"7023",12,12
"25004",7,15
"12022",2,13
"15027",1,2
"21023",3,5
"21021",2,12
"42205",2,16
"43004",1,5
"8046",3,3
"31701",1,0
"17006",0,4
"20005",4,2
"21207",4,0
"10031",2,0
"12122",4,2
"21205",3,2
"16023",1,1
"24007",5,12
"16033",2,7
"11029",3,1
"15014",3,4
"11016",2,0
"15114",7,1
"6004",1,3
"20106",2,4
"25002",2,2
"15113",3,3
"19001",1,6
"6005",2,2
"16022",2,9
"20011",1,0
"21511",7,5
"21016",3,3
"5105",0,2
"13013",3,15
"19123",2,4
"12039",8,27
"12017",5,9
