"station_code","mechanical_available","electric_available"
"16107",5,2
"12109",2,23
"10013",3,2
"13007",4,6
"5110",2,2
"33006",1,6
"6021",1,2
"21010",1,0
"17026",1,5
"17038",4,4
"7003",21,26
"5016",3,1
"11025",9,16
"13101",0,10
"15026",2,29
"17044",7,9
"19033",3,1
"15068",1,0
"22207",2,13
"19027",1,1
"16118",0,4
"2017",2,3
"9008",0,0
"8048",1,1
"13118",5,54
"7011",1,5
"18111",1,0
"16110",4,2
"8053",2,0
"17032",2,0
"8016",6,5
"10115",1,1
"10161",3,2
"41303",5,23
"7018",8,0
"5022",3,3
"9106",5,6
"17040",4,0
"9038",0,2
"8009",11,15
"6001",8,6
"15112",1,0
"22409",1,1
"19003",1,0
"12151",17,35
"31024_relais",0,0
"92007",1,2
"9028",2,0
"11027",2,2
"19026",0,1
"11002",0,8
"16039",2,13
"31009",4,0
"11047",3,10
"8034",3,3
"5032",1,0
"26002",6,23
"12128",3,30
"31022",26,2
"19101",4,1
"46002",8,23
"42706",4,1
"33017",1,5
"15042",2,1
"18011",0,0
"43008",1,8
"15104",6,18
"5004",1,1
"14138",20,0
"41209",12,0
"10024",1,3
"18031",2,1
"42014",2,23
"5018",8,6
"8017",11,12
"15054",2,5
"15106",1,17
"14008",1,4
"18046",3,1
"35002",4,7
"31102",5,0
"2111",4,4
"8054",1,0
"15109",1,18
"21209",5,1
"18022",1,2
"14012",1,2
"14124",3,0
"15110",4,5
"44013",8,6
"31008",3,1
"44003",7,11
"15034",3,14
"41404",2,21
"11030",0,1
"35020",0,0
"25003",5,10
"9116",7,11
"21008",3,4
"11026",3,2
"19024",7,2
"15021",0,5
"17105",3,5
"5012",1,1
"14110",5,2
"16108",0,3
"19032",9,1
"16136",0,18
"19022",6,0
"21701",2,9
"20134",2,1
"8057",3,0
"24001",13,2
"8025",1,4
"10014",0,3
"5123",7,23
"11035",0,2
"42010",7,40
"46001",7,7
"22006",2,5
"42302",10,1
"1002",6,15
"19016",3,0
"12009",5,10
"42504",12,7
"42015",1,3
"32016",9,5
"5006",3,2
"43003",5,0
"7005",9,7
"11036",4,3
"14036",4,2
"19008",1,0
"11007",4,39
"32303",5,0
"42029",4,13
"8035",4,0
"6013",0,19
"26007",3,2
"17102",2,2
"16111",6,2
"7015",3,4
"14021",2,16
"15025",0,13
"35018",1,0
"41606",1,2
"11009",3,3
"16121",3,6
"18141",2,1
"24002",0,0
"41102",10,21
"17037",0,1
"19004",3,3
"25005",0,1
"13045",6,11
"19115",3,3
"14034",2,0
"12034",4,12
"7009",11,13
"17042",6,7
"15033",3,18
"5114",1,3
"19019",4,0
"21403",3,1
"35009",2,4
"31705",12,1
"13014",5,6
"21109",1,4
"21502",2,5
"12126",9,1
"12024",8,25
"35019",3,8
"14104",0,0
"17018",2,1
"15029",2,3
"18005",7,1
"10005",1,0
"5116",7,24
"20136",2,1
"5026",2,38
"43006",3,8
"8102",2,2
"8012",1,2
"14018",4,1
"21111",3,23
"2010",4,3
"11114",3,11
"8101",0,0
"11101",1,16
"15055",3,17
"10015",2,3
"16006",0,0
"34002",4,9
"12011",4,20
"19037",1,0
"6107",12,8
"6103",11,12
"15038",0,17
"31019",2,0
"10165",8,10
"51003",9,13
"22101",7,12
"13016",9,13
"8051",0,1
"14122",0,1
"44102",10,7
"16123",5,3
"19039",1,1
"21003",11,4
"22001",1,1
"18025",1,2
"20027",0,0
"9023",2,1
"20021",1,0
"19040",0,0
"17047",1,4
"6016",6,5
"41204",7,0
"16004",0,0
"32017",3,3
"17121",0,5
"10020",1,0
"19009",5,2
"18029",1,0
"21703",2,1
"6030",0,0
"20118",0,1
"16021",5,6
"20023",1,0
"15035",6,6
"9117",7,3
