"last_reported","station_id","is_installed","is_returning","is_renting","dock_available","mechanical_available","electric_available"
1658146197,213688169,1,1,1,32,0,3
1658146268,653222953,1,1,1,4,2,22
1658146251,516709288,1,1,1,17,0,3
1658146141,36255,1,1,1,21,0,0
1658146307,37815204,1,1,1,24,4,0
1658146272,100769544,1,1,1,4,33,6
1658146106,85002689,1,1,1,56,0,2
1658146263,123095125,1,1,1,56,1,1
1658146086,120827885,1,1,1,4,5,1
1658146281,251039991,1,1,1,23,1,1
1658145982,37874517,1,1,1,15,3,3
1658146079,66491398,1,1,1,30,12,4
1658146236,210403080,1,1,1,17,0,5
1658146279,210561800,1,1,1,13,3,0
1658146122,209063434,1,1,1,23,4,2
1658146221,94555589,1,1,1,22,2,3
1658146287,244498842,1,1,1,31,11,5
1658146209,43195240,1,1,1,22,1,2
1658145803,210405211,1,1,1,12,2,5
1658146026,501862076,1,1,1,19,0,3
1658144711,54000559,1,1,1,34,4,1
1658146196,207633746,1,1,1,16,15,16
1658145922,85043758,1,1,1,32,0,4
1658146158,210566542,1,1,1,18,22,15
1658146240,437597018,1,1,1,24,1,2
1658146159,210565680,1,1,1,21,6,6
1658146131,210397939,1,1,1,13,0,4
1658146236,82405965,1,1,1,25,14,2
1658146235,213682736,1,1,1,42,8,1
1658146161,80101533,1,1,1,23,6,6
1658146247,54000581,1,1,1,19,13,2
1658146015,13105968,1,1,1,20,0,0
1658145991,653208733,1,1,1,37,0,0
1658146311,27415224,1,1,1,8,18,3
1658146238,907054879,1,1,1,17,0,3
1658146124,129094535,1,1,1,38,0,3
1658146100,54000612,1,1,1,37,2,2
1658146276,128986726,1,1,1,1,18,14
1658145798,599135701,1,1,1,43,0,0
1658146308,102747146,1,1,1,1,14,9
1658146261,2515403527,1,1,1,23,2,5
1658146237,653132534,1,1,1,4,9,12
1658146181,506455295,1,1,1,5,7,4
1658146154,1057149522,1,1,1,4,13,2
1658146229,210567545,1,1,1,11,3,3
1658146271,2515085147,1,1,1,16,1,4
1658146188,653197324,1,1,1,2,4,16
1658146249,210408693,1,1,1,16,4,5
1658146165,42950839,1,1,1,18,0,0
1658146193,14813797734,1,1,1,18,6,3
1658146142,88230992,1,1,1,25,1,3
1658146207,499303158,1,1,1,0,24,3
1658146246,27415302,1,1,1,26,0,0
1658146107,27414512,1,1,1,9,21,9
1658146224,210580039,1,1,1,15,0,2
1658146171,49474389,1,1,1,0,10,13
1658146313,128940135,1,1,1,2,5,12
1658146108,35149611,1,1,1,12,0,0
1658146258,1057296253,1,1,1,1,54,7
1658146186,210570888,1,1,1,0,14,8
1658146262,129107656,1,1,1,19,0,2
1658146071,1057228658,1,1,1,15,2,5
1658146151,230873471,1,1,1,17,0,4
1658145886,507934805,1,1,1,22,1,1
1658146043,205047993,1,1,1,41,3,2
1658146246,39799329,1,1,1,7,16,11
1658146237,129164969,1,1,1,40,6,2
1658146239,128989986,1,1,1,4,10,14
1658146136,129004826,1,1,1,14,2,1
1658146262,518825709,1,1,1,21,0,0
1658146141,128930462,1,1,1,3,18,6
1658146197,911767210,1,1,1,16,3,1
1658146274,54000565,1,1,1,24,0,1
1658145904,210586093,1,1,1,20,1,1
1658146277,7254,1,1,1,21,2,1
1658146123,369644630,1,1,1,30,1,0
1658146294,214114469,1,1,1,7,22,2
1658146311,128887067,1,1,1,2,16,1
1658146044,55927887,1,1,1,14,19,3
1658146157,210574471,1,1,1,7,2,4
1658146172,72765603,1,1,1,12,6,2
1658146140,210582921,1,1,1,0,6,8
1658146090,43255030,1,1,1,41,3,3
1658146180,129025451,1,1,1,25,1,1
1658146294,128920403,1,1,1,2,9,16
1658146166,323616530,1,1,1,1,13,2
1658146238,208795867,1,1,1,16,0,1
1658146301,1062192012,1,1,1,2,2,29
1658146284,6296,1,1,1,5,10,2
1658146148,521393180,1,1,1,20,2,0
1658146061,576188379,1,1,1,23,0,0
1658146211,128915891,1,1,1,18,9,4
1658145998,82567101,1,1,1,21,0,1
1652812373,102290754,1,0,0,24,0,0
1658146307,457813746,1,1,1,14,0,2
1658146190,128882438,1,1,1,6,30,2
1658146060,50191171,1,1,1,18,3,2
1658146298,129014600,1,1,1,2,10,21
1658146204,3906153622,1,1,1,13,1,2
1658146212,129087587,1,1,1,35,2,1
1658146315,213693511,1,1,1,21,1,1
1658146250,82379648,1,1,1,1,8,23
1658146142,66491397,1,1,1,53,3,3
1658146060,907081682,1,1,1,0,0,0
1658146229,230877798,1,1,1,32,1,0
1658144115,2515995748,1,1,1,6,3,13
1658146244,27363162,1,1,1,17,3,3
1658146124,129021753,1,1,1,16,0,1
1658146299,210740080,1,1,1,45,0,3
1658146275,54000569,1,1,1,36,2,0
1658146241,80216231,1,1,1,36,2,0
1658146179,336511521,1,1,1,17,0,0
1658146188,129043651,1,1,1,11,9,1
1658146088,82562556,1,1,1,40,7,1
1658146246,129048000,1,1,1,37,4,5
1658146113,1062250686,1,1,1,26,1,8
1658146268,261987383,1,1,1,24,0,2
1658146273,813544903,1,1,1,2,24,2
1658146267,126050442,1,1,1,21,1,0
1658146262,27363489,1,1,1,24,1,2
1658146138,39296638,1,1,1,0,16,19
1658146293,205938683,1,1,1,46,5,1
1658146255,210399835,1,1,1,33,0,6
1658146002,1057324291,1,1,1,54,1,2
1658146241,102324803,1,1,1,39,0,0
1658146236,101763163,1,1,1,3,3,5
1658146268,653133605,1,1,1,2,29,10
1658146042,3906094706,1,1,1,28,2,2
1658146170,27414578,1,1,1,8,5,4
1658146252,508042092,1,1,1,12,21,1
1658146152,42603855,1,1,1,10,1,6
1658146196,818302209,1,1,1,44,1,5
1658146254,13718041,1,1,1,21,1,1
1658146176,265464297,1,1,1,46,2,1
1658146073,1057392676,1,1,1,11,16,7
1658136582,102309973,1,1,1,41,1,1
1658146270,532054446,1,1,1,55,1,0
1658146123,129034587,1,1,1,16,1,0
1658146061,314829539,1,1,1,45,1,3
1658146113,586539770,1,1,1,1,10,10
1658146167,3906335682,1,1,1,23,1,1
1658146246,583539396,1,1,1,23,2,1
1658146307,101753100,1,1,1,0,9,6
1658146309,27415466,1,1,1,19,1,1
1658146177,52393,1,1,1,35,9,6
1658146220,81081358,1,1,1,36,1,2
1658145825,66491385,1,1,1,23,0,1
1658146099,209057581,1,1,1,17,0,1
1658146290,66491389,1,1,1,2,32,22
1658146315,210749865,1,1,1,13,1,2
1658146291,535500589,1,1,1,20,31,13
1658146051,597245295,1,1,1,28,4,1
1658146246,213684314,1,1,1,17,3,4
1658146239,235513935,1,1,1,25,0,2
1658146261,27206194,1,1,1,15,3,1
1658146169,102323152,1,1,1,18,0,1
1658145714,129060764,1,1,1,13,12,2
1658145758,828134511,1,1,1,27,1,2
1658146219,586649404,1,1,1,7,6,11
1658146304,596813170,1,1,1,8,0,7
1658146174,596872103,1,1,1,27,0,3
1658146274,271426439,1,1,1,13,3,1
1658146308,27363187,1,1,1,40,0,3
1658146141,76199461,1,1,1,32,0,0
1658146200,230952057,1,1,1,12,9,8
1658146273,37815993,1,1,1,6,23,3
1658146313,88140066,1,1,1,16,33,16
1658145991,213683101,1,1,1,16,2,0
1658146236,213684750,1,1,1,31,3,1
1658146080,129067920,1,1,1,38,1,0
1658146289,2515049357,1,1,1,11,3,8
1658146223,27364743,1,1,1,17,1,2
1658145770,102314792,1,1,1,28,1,3
1658146236,35447568,1,1,1,16,3,2
