"last_reported","station_id","is_installed","is_returning","is_renting","dock_available","mechanical_available","electric_available"
1657958423,213688169,1,1,1,29,1,4
1657958597,653222953,1,1,1,3,2,24
1657958514,516709288,1,1,1,11,1,8
1657958547,36255,1,1,1,19,0,2
1657958518,37815204,1,1,1,5,20,2
1657958683,100769544,1,1,1,37,8,0
1657958671,85002689,1,1,1,1,39,13
1657958536,123095125,1,1,1,52,4,2
1657958611,120827885,1,1,1,11,0,1
1657958565,251039991,1,1,1,21,2,2
1657958639,37874517,1,1,1,12,7,2
1657958703,66491398,1,1,1,13,19,15
1657958264,210403080,1,1,1,20,1,1
1657958707,210561800,1,1,1,5,5,6
1657958683,209063434,1,1,1,23,2,4
1657958711,94555589,1,1,1,6,6,15
1657958669,244498842,1,1,1,13,16,15
1657958378,43195240,1,1,1,12,11,2
1657958314,210405211,1,1,1,15,3,1
1657958468,501862076,1,1,1,14,0,7
1657958647,54000559,1,1,1,32,4,1
1657943460,207633746,1,1,1,47,0,1
1657958665,85043758,1,1,1,28,3,5
1657958699,210566542,1,1,1,38,6,12
1657958532,437597018,1,1,1,19,5,4
1657958547,210565680,1,1,1,11,17,6
1657958450,210397939,1,1,1,17,0,0
1657958646,82405965,1,1,1,26,12,3
1657958445,213682736,1,1,1,47,1,4
1657958213,80101533,1,1,1,34,0,1
1657958647,54000581,1,1,1,15,16,3
1657958510,13105968,1,1,1,17,0,3
1657958374,653208733,1,1,1,31,1,4
1657958600,27415224,1,1,1,18,8,5
1657958473,907054879,1,1,1,6,4,9
1657958578,129094535,1,1,1,35,5,1
1657958593,54000612,1,1,1,40,1,0
1657958683,128986726,1,1,1,30,1,2
1657958363,599135701,1,1,1,27,12,5
1657958694,102747146,1,1,1,1,18,5
1657958557,2515403527,1,1,1,18,5,6
1657958676,653132534,1,1,1,23,0,2
1657958701,506455295,1,1,1,11,4,1
1657958562,1057149522,1,1,1,0,10,11
1657958675,210567545,1,1,1,14,3,1
1657958710,2515085147,1,1,1,14,4,3
1657958663,653197324,1,1,1,7,3,13
1657958632,210408693,1,1,1,16,6,2
1657958478,42950839,1,1,1,5,9,4
1657958710,14813797734,1,1,1,7,6,14
1657958461,88230992,1,1,1,27,1,1
1657958420,499303158,1,1,1,15,13,1
1657958690,27415302,1,1,1,24,0,2
1657958622,27414512,1,1,1,35,4,0
1657958446,210580039,1,1,1,16,0,1
1657958240,49474389,1,1,1,22,0,1
1657958679,128940135,1,1,1,17,2,1
1657958594,35149611,1,1,1,5,8,0
1657958679,1057296253,1,1,1,4,50,6
1657958693,210570888,1,1,1,20,2,0
1657958618,129107656,1,1,1,21,1,2
1657958494,1057228658,1,1,1,9,5,8
1657958438,230873471,1,1,1,16,1,4
1657958308,507934805,1,1,1,22,1,1
1657958186,205047993,1,1,1,38,5,3
1657958291,39799329,1,1,1,30,1,1
1657958575,129164969,1,1,1,9,30,11
1657958589,128989986,1,1,1,27,0,2
1657958602,129004826,1,1,1,9,4,4
1657958569,518825709,1,1,1,19,1,0
1657958538,128930462,1,1,1,25,2,2
1657958640,911767210,1,1,1,21,0,1
1657958710,54000565,1,1,1,16,2,7
1657958668,210586093,1,1,1,15,3,4
1657958448,7254,1,1,1,21,0,2
1657958447,369644630,1,1,1,16,11,4
1657958692,214114469,1,1,1,1,22,8
1657958467,128887067,1,1,1,11,4,4
1657958694,55927887,1,1,1,1,31,2
1657958680,210574471,1,1,1,10,0,3
1657958553,72765603,1,1,1,19,1,0
1657958549,210582921,1,1,1,7,5,2
1657958509,43255030,1,1,1,43,2,3
1657958560,129025451,1,1,1,27,0,0
1657958689,128920403,1,1,1,3,11,12
1657958652,323616530,1,1,1,13,3,0
1657958350,208795867,1,1,1,10,6,1
1657958662,1062192012,1,1,1,0,4,30
1657958513,6296,1,1,1,15,1,1
1657958644,521393180,1,1,1,12,7,1
1657958620,576188379,1,1,1,18,3,3
1657958706,128915891,1,1,1,14,10,9
1657958635,82567101,1,1,1,17,1,5
1652812373,102290754,1,0,0,24,0,0
1657958520,457813746,1,1,1,8,1,7
1657958588,128882438,1,1,1,35,2,2
1657958559,50191171,1,1,1,20,1,1
1657958469,129014600,1,1,1,29,0,4
1657958693,3906153622,1,1,1,3,10,3
1657958513,129087587,1,1,1,29,10,1
1657958448,213693511,1,1,1,21,1,1
1657958576,82379648,1,1,1,28,0,2
1657958706,66491397,1,1,1,4,45,11
1657958414,907081682,1,1,1,0,0,0
1657958453,230877798,1,1,1,28,5,1
1657958574,2515995748,1,1,1,18,0,4
1657958572,27363162,1,1,1,16,6,1
1657958177,129021753,1,1,1,17,0,0
1657958699,210740080,1,1,1,40,2,5
1657958667,54000569,1,1,1,23,14,1
1657958471,80216231,1,1,1,31,5,2
1657958613,336511521,1,1,1,6,1,10
1657958642,129043651,1,1,1,15,5,3
1657958667,82562556,1,1,1,42,5,2
1657958708,129048000,1,1,1,15,27,3
1657958657,1062250686,1,1,1,23,2,10
1657958275,261987383,1,1,1,23,0,3
1657958651,813544903,1,1,1,19,8,2
1657958328,126050442,1,1,1,11,11,0
1657958554,27363489,1,1,1,22,2,2
1657958299,39296638,1,1,1,35,0,0
1657958619,205938683,1,1,1,49,1,2
1657958211,210399835,1,1,1,37,0,2
1657958609,1057324291,1,1,1,47,5,6
1657958336,102324803,1,1,1,39,0,0
1657958701,101763163,1,1,1,7,3,1
1657958707,653133605,1,1,1,3,35,2
1657958589,3906094706,1,1,1,10,11,11
1657958712,27414578,1,1,1,15,1,3
1657958569,508042092,1,1,1,0,24,10
1657958532,42603855,1,1,1,13,2,2
1657958583,818302209,1,1,1,45,0,6
1657958661,13718041,1,1,1,19,1,3
1657958477,265464297,1,1,1,46,0,3
1657958699,1057392676,1,1,1,0,19,14
1657958713,102309973,1,1,1,37,1,2
