"station_code","mechanical_available","electric_available"
"16107",1,0
"11104",4,0
"9020",0,0
"14111",4,1
"6003",7,3
"13007",5,13
"42016",3,1
"17026",1,2
"17038",8,10
"7002",2,4
"5016",0,7
"17025",1,3
"15026",5,22
"19033",1,2
"43002",14,6
"15068",3,6
"22207",2,18
"7004",5,0
"13030",2,0
"92002",4,2
"6029",2,3
"31028",0,8
"44017",12,16
"16118",0,1
"2017",5,2
"7011",5,5
"18134",2,1
"14002",1,0
"9014",2,17
"17032",1,0
"8016",12,15
"10162",0,5
"10115",2,0
"10029",1,0
"10161",1,3
"9002",2,0
"5022",1,0
"17008",4,1
"15112",1,5
"7025",13,15
"22409",3,0
"19015",1,0
"9022",12,8
"19003",1,4
"31024_relais",0,0
"18107",1,0
"92007",9,5
"11027",3,7
"19026",0,0
"19043",1,9
"5032",3,1
"20042",1,0
"15067",2,7
"26002",9,20
"31022",24,6
"19101",1,1
"18003",1,1
"20112",1,1
"18011",1,1
"43008",1,4
"5004",1,1
"12114",1,0
"14138",6,7
"41209",10,1
"21312",3,0
"10024",1,1
"18031",1,2
"42014",1,19
"15054",0,2
"14008",2,4
"5124",12,8
"14106",0,0
"10042",4,5
"35002",2,7
"8054",6,3
"21209",3,1
"18022",1,1
"14012",2,2
"35010",2,9
"21005",6,6
"15110",6,17
"21006",5,5
"44013",7,5
"41404",2,17
"42021",9,20
"1119",6,2
"35020",0,0
"25003",7,12
"11039",3,2
"17013",2,0
"11026",1,0
"32604",0,0
"15021",2,1
"15103",2,10
"18009",0,0
"16038",7,9
"41601",0,3
"16136",1,9
"8057",2,5
"24001",15,8
"14136",0,0
"8025",13,20
"10014",4,5
"5123",2,3
"13002",0,1
"15046",0,4
"1002",3,11
"19029",0,0
"9032",19,13
"19016",2,0
"7102",9,16
"15013",4,20
"42504",5,4
"20121",0,1
"32016",7,5
"15201",1,0
"5006",4,0
"8013",16,14
"41402",1,15
"7005",5,14
"11036",0,0
"18201",9,9
"19008",1,0
"23009",1,10
"21313",1,17
"6013",2,2
"16111",1,16
"19005",2,0
"14021",0,2
"32602",1,0
"17045",5,1
"11009",3,2
"16121",8,7
"23001",15,18
"24002",0,0
"17037",2,2
"33009",7,12
"5021",1,16
"14034",0,1
"32010",16,5
"7009",26,15
"17042",11,4
"8033",14,12
"16034",2,2
"20119",0,0
"20036",0,0
"92003",11,5
"35009",3,2
"8055",1,2
"13014",4,9
"27002",3,16
"23701",5,11
"12126",0,5
"12024",4,29
"42023",5,3
"41604",3,15
"17018",3,7
"10005",4,10
"5116",10,24
"18020",0,0
"5026",4,25
"15028",4,7
"8012",1,4
"23011",7,4
"7006",7,19
"8101",3,1
"21105",2,1
"13102",18,17
"15055",2,6
"16006",4,1
"7014",5,5
"10023",0,0
"6018",1,0
"12032",3,13
"19037",0,0
"20109",1,1
"15038",3,10
"19109",1,0
"32014",10,2
"18032",1,4
"17124",8,9
"17027",0,1
"31016",2,2
"51003",9,16
"22101",6,17
"11020",5,14
"13043",1,1
"14122",0,6
"44102",8,11
"9115",0,0
"16123",5,4
"21003",5,5
"17122",1,0
"9023",7,13
"20021",1,5
"26001",2,1
"41204",0,0
"16004",0,0
"32017",3,2
"10020",4,0
"18109",0,1
"19038",0,0
"18029",1,1
"21703",2,0
"6030",0,0
"20118",0,1
"16021",0,10
"18049",7,14
"35017",2,0
"11041",2,17
"15031",2,4
"21014",6,4
"11006",4,4
"15070",0,14
"12107",3,6
"18033",2,1
"20116",1,0
"23007",4,8
"20016",0,0
"5121",5,15
"16043",1,0
"1117",9,12
"18017",2,0
"9017",0,0
"18008",0,0
"16112",1,2
"8001",10,11
"42703",5,12
"14028",0,0
"22102",2,0
"4110",3,3
"6032",2,4
"7008",8,4
"14030",2,2
"17022",1,1
"7020",2,1
"6017",3,10
"10114",2,3
"12161",2,24
"21114",1,2
"21024",1,3
"7013",7,6
"2013",12,2
"21311",3,43
"8038",9,18
"8056",5,0
"18138",3,3
"14006",2,1
"10163",2,0
"31023",4,1
"7101",4,3
"18137",0,3
"17116",4,10
"18001",0,0
"17016",2,0
"18019",1,0
"11003",1,7
"11034",1,1
"9012",9,11
"41206",0,1
