"station_code","mechanical_available","electric_available"
"16107",0,6
"11104",7,5
"9020",1,2
"14014",2,8
"8026",3,0
"14111",0,0
"5110",5,2
"17026",3,2
"17041",6,15
"7001",3,2
"5016",2,0
"17025",0,1
"14108",2,0
"31024",12,3
"15026",2,0
"17044",5,6
"19033",3,2
"20143",5,16
"43002",7,5
"15068",0,0
"7004",1,2
"13030",3,10
"92002",2,2
"17048",2,0
"8048",0,3
"13118",3,55
"18111",9,2
"48003",4,7
"18134",2,1
"14002",0,0
"9014",0,0
"43009",11,27
"8053",0,0
"9001",0,3
"10162",0,1
"10029",0,2
"5005",2,2
"7018",2,0
"12031",3,30
"9002",2,2
"9106",1,2
"9038",0,0
"8009",1,0
"17008",9,7
"31706",5,1
"22409",4,2
"8036",3,0
"12151",4,6
"31024_relais",0,0
"92007",1,0
"9028",2,2
"10107",3,3
"17043",0,4
"19026",4,0
"11002",1,9
"11047",1,17
"17030",4,6
"19043",6,3
"14020",3,1
"43401",13,30
"12128",2,32
"31022",5,1
"19101",1,3
"14003",1,1
"18003",0,0
"21212",3,0
"33017",14,8
"20112",5,1
"18011",12,17
"44006",18,10
"19120",12,0
"5004",2,2
"12114",5,6
"14138",2,11
"46003",13,8
"41209",13,0
"21312",7,2
"10024",16,2
"18031",7,11
"5018",2,3
"15054",1,15
"15106",2,12
"5124",0,2
"22406",3,2
"2111",0,0
"15109",4,24
"14012",8,9
"21005",1,5
"15133",4,22
"21006",8,5
"20131",2,0
"31008",2,1
"15034",6,22
"22203",3,2
"41202",3,31
"11030",6,10
"35020",0,0
"25003",5,11
"20115",0,1
"31003",12,5
"17013",3,0
"17031",3,0
"11026",8,27
"13050",4,31
"32604",0,0
"9010",2,6
"15021",7,28
"17105",3,8
"11024",5,34
"22003",3,4
"16038",9,9
"14110",4,1
"19032",12,18
"16136",5,11
"21701",17,3
"8057",1,0
"22016",2,5
"10014",7,28
"5123",2,12
"11035",12,9
"46001",10,8
"16040",4,16
"42302",9,10
"1002",1,0
"19029",4,0
"9032",0,2
"21104",4,0
"19016",13,3
"7102",1,1
"12009",4,12
"42504",9,6
"42015",12,10
"20111",10,1
"32016",7,2
"31010",2,3
"92008",2,1
"41402",5,19
"43003",0,2
"7005",2,0
"19125",8,6
"14036",1,2
"18201",19,5
"23009",0,0
"12027",0,11
"11007",16,22
"42029",8,11
"26007",9,4
"19005",6,4
"14021",2,1
"35018",4,5
"12115",2,12
"17011",0,3
"43402",8,30
"33018",8,18
"12013",6,6
"11009",8,13
"11115",6,14
"16121",1,10
"18141",8,6
"23001",4,8
"24002",0,0
"17037",2,1
"11102",5,13
"33003",11,3
"33009",6,9
"32010",2,0
"15010",5,15
"33019",2,6
"8033",0,2
